公司代码 	公司简称 	代码	简称	上市日期	
688513	  苑东生物	  688513	  苑东生物	  2020-09-02	  
688516	  奥特维	  688516	  奥特维	  2020-05-21	  
688518	  联赢激光	  688518	  联赢激光	  2020-06-22	  
688519	  南亚新材	  688519	  南亚新材	  2020-08-18	  
688520	  神州细胞	  688520	  神州细胞	  2020-06-22	  
688521	  芯原股份	  688521	  芯原股份	  2020-08-18	  
688526	  科前生物	  688526	  科前生物	  2020-09-22	  
688528	  秦川物联	  688528	  秦川物联	  2020-07-01	  
688529	  豪森股份	  688529	  豪森股份	  2020-11-09	  
688536	  思瑞浦	  688536	  思瑞浦	  2020-09-21	  
688550	  瑞联新材	  688550	  瑞联新材	  2020-09-02	  
688551	  科威尔	  688551	  科威尔	  2020-09-10	  
688555	  泽达易盛	  688555	  泽达易盛	  2020-06-23	  
688556	  高测股份	  688556	  高测股份	  2020-08-07	  
688557	  兰剑智能	  688557	  兰剑智能	  2020-12-02	  
688558	  国盛智科	  688558	  国盛智科	  2020-06-30	  
688559	  海目星	  688559	  海目星	  2020-09-09	  
688561	  奇安信	  688561	  奇安信	  2020-07-22	  
688566	  吉贝尔	  688566	  吉贝尔	  2020-05-18	  
688567	  孚能科技	  688567	  孚能科技	  2020-07-17	  
688568	  中科星图	  688568	  中科星图	  2020-07-08	  
688569	  铁科轨道	  688569	  铁科轨道	  2020-08-31	  
688577	  浙海德曼	  688577	  浙海德曼	  2020-09-16	  
688578	  艾力斯	  688578	  艾力斯	  2020-12-02	  
688579	  山大地纬	  688579	  山大地纬	  2020-07-17	  
688580	  伟思医疗	  688580	  伟思医疗	  2020-07-21	  
688585	  上纬新材	  688585	  上纬新材	  2020-09-28	  
688586	  江航装备	  688586	  江航装备	  2020-07-31	  
688588	  凌志软件	  688588	  凌志软件	  2020-05-11	  
688589	  力合微	  688589	  力合微	  2020-07-22	  
688595	  芯海科技	  688595	  芯海科技	  2020-09-28	  
688596	  正帆科技	  688596	  正帆科技	  2020-08-20	  
688598	  金博股份	  688598	  金博股份	  2020-05-18	  
688599	  天合光能	  688599	  天合光能	  2020-06-10	  
688600	  皖仪科技	  688600	  皖仪科技	  2020-07-03	  
688777	  中控技术	  688777	  中控技术	  2020-11-24	  
688788	  科思科技	  688788	  科思科技	  2020-10-22	  
688981	  中芯国际	  688981	  中芯国际	  2020-07-16	  
689009	  九号公司	  689009	  九号公司	  2020-10-29	  
